key,title,chart_type,chart_id,uuid,view_link,edit_link,iframe_embed,inject_embed
Figure 3.7,Relational/trusting young men are more likely than their self-driven/distrusting peers to say most of their interactions outside of work and school are with close friends.,bar,622363,G3IJmGBrWd,https://app.everviz.com/chart/G3IJmGBrWd,https://app.everviz.com/edit/622363?editor=&panel=chart_customize&type=bar_chart,"<iframe src=""https://app.everviz.com/embed/G3IJmGBrWd"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/G3IJmGBrWd""></script>"
Figure 3.8,"Young men are more likely than young women to use gaming platforms, collaboration platforms, and online forums.",bar,622364,_8adrGQsc,https://app.everviz.com/chart/_8adrGQsc,https://app.everviz.com/edit/622364?editor=&panel=chart_customize&type=bar_chart,"<iframe src=""https://app.everviz.com/embed/_8adrGQsc"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/_8adrGQsc""></script>"
Figure 3.9,"Self-driven/distrusting young men are most likely to use gaming platforms, collaboration platforms, and online forums.",bar,622365,tlvHC8PaoV,https://app.everviz.com/chart/tlvHC8PaoV,https://app.everviz.com/edit/622365?editor=&panel=chart_customize&type=bar_chart,"<iframe src=""https://app.everviz.com/embed/tlvHC8PaoV"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/tlvHC8PaoV""></script>"
Figure 3.10,"Young men most often follow influencers or podcasts related to gaming and sports, while young women prefer content focusing on mental health, pop culture, and lifestyle.",bar,622366,L3p0a-1uF,https://app.everviz.com/chart/L3p0a-1uF,https://app.everviz.com/edit/622366?editor=&panel=chart_customize&type=bar_chart,"<iframe src=""https://app.everviz.com/embed/L3p0a-1uF"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/L3p0a-1uF""></script>"
Figure 3.11,Self-driven/distrusting young men are most likely to follow content creators and podcasts that discuss masculinity.,bar,622367,q8OPX_gjxy,https://app.everviz.com/chart/q8OPX_gjxy,https://app.everviz.com/edit/622367?editor=&panel=chart_customize&type=bar_chart,"<iframe src=""https://app.everviz.com/embed/q8OPX_gjxy"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/q8OPX_gjxy""></script>"
Figure 4.1,Most Americans are skeptical that the government is working for the people.,bar,622368,7VsCQ5_QO,https://app.everviz.com/chart/7VsCQ5_QO,https://app.everviz.com/edit/622368?editor=&panel=chart_customize&type=bar_chart,"<iframe src=""https://app.everviz.com/embed/7VsCQ5_QO"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/7VsCQ5_QO""></script>"
Figure 4.2,Majorities of young men across political identity are skeptical that the government is working for the people.,bar,622369,4Md_c-5jQm,https://app.everviz.com/chart/4Md_c-5jQm,https://app.everviz.com/edit/622369?editor=&panel=chart_customize&type=bar_chart,"<iframe src=""https://app.everviz.com/embed/4Md_c-5jQm"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/4Md_c-5jQm""></script>"
Figure 4.3,Self-driven/distrusting young men are most likely to say the government is functioning as intended.,column,622370,IcZCaH-9ts,https://app.everviz.com/chart/IcZCaH-9ts,https://app.everviz.com/edit/622370?editor=&panel=chart_customize&type=column_chart,"<iframe src=""https://app.everviz.com/embed/IcZCaH-9ts"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/IcZCaH-9ts""></script>"
Figure 4.4,Self-driven/distrusting young men are most likely to believe average Americans have power influencing policy.,bar,622371,oddPNiZ82,https://app.everviz.com/chart/oddPNiZ82,https://app.everviz.com/edit/622371?editor=&panel=chart_customize&type=bar_chart,"<iframe src=""https://app.everviz.com/embed/oddPNiZ82"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/oddPNiZ82""></script>"
Figure 4.5,Only a third of relational/distrusting young men believe the design and structure of the nation’s government is fine.,column,622372,7JF9Mmbl9,https://app.everviz.com/chart/7JF9Mmbl9,https://app.everviz.com/edit/622372?editor=&panel=chart_customize&type=column_chart,"<iframe src=""https://app.everviz.com/embed/7JF9Mmbl9"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/7JF9Mmbl9""></script>"
Figure 4.6,Self-driven/distrusting young men are most likely to believe ordinary people have influence at the national level.,column,622373,veqWGv2Bli,https://app.everviz.com/chart/veqWGv2Bli,https://app.everviz.com/edit/622373?editor=&panel=chart_customize&type=column_chart,"<iframe src=""https://app.everviz.com/embed/veqWGv2Bli"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/veqWGv2Bli""></script>"
Figure 4.7,Self-driven/distrusting young men are more likely to report engagement in their communities and in democratic practices.,column,622374,Uap_FG8PqI,https://app.everviz.com/chart/Uap_FG8PqI,https://app.everviz.com/edit/622374?editor=&panel=chart_customize&type=column_chart,"<iframe src=""https://app.everviz.com/embed/Uap_FG8PqI"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/Uap_FG8PqI""></script>"
Figure 4.8,Fewer self-driven/trusting young men than their peers believe it is important to vote.,column,622375,TkQ2OA8Pg,https://app.everviz.com/chart/TkQ2OA8Pg,https://app.everviz.com/edit/622375?editor=&panel=chart_customize&type=column_chart,"<iframe src=""https://app.everviz.com/embed/TkQ2OA8Pg"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/TkQ2OA8Pg""></script>"
