	All Respondents	Young men	Young women	Young men, no degree and not currently enrolled	Young men, college degree	Relational/trusting	Relational/distrusting	Self-driven/trusting	Self-driven/distrusting
A little useful	12	9	11	NA	9	14%	n>75	6%	1%
Not at all useful	11	8	14	NA	8	3%	n>75	8%	11%
I don't know	2	1	1	NA	*	0%	n>75	0%	0%
Q8_6. Helping you find a job that aligns with your talents and interests									
Extremely useful	29	25	24	NA	25	22%	n>75	25%	21%
Very useful	30	36	31	NA	36	34%	n>75	36%	42%
Somewhat useful	19	20	25	NA	20	22%	n>75	17%	24%
A little useful	11	11	9	NA	11	19%	n>75	10%	3%
Not at all useful	10	8	10	NA	8	4%	n>75	10%	10%
I don't know	*	1	-	NA	1	0%	n>75	2%	0%
Q8_7. Helping you find a well-paying job									
Extremely useful	28	26	19	NA	26	18%	n>75	22%	39%
Very useful	29	36	37	NA	36	38%	n>75	37%	30%
Somewhat useful	20	21	21	NA	21	24%	n>75	19%	21%
A little useful	12	9	11	NA	9	13%	n>75	11%	1%
Not at all useful	10	8	12	NA	8	7%	n>75	11%	8%
I don't know	1	*	*	NA	*	0%	n>75	1%	0%
Q8_8. Preparing you to participate in civic life, such as voting or volunteering									
Extremely useful	19	21	19	NA	21	11%	n>75	20%	32%
Very useful	22	31	26	NA	31	34%	n>75	27%	34%
Somewhat useful	25	21	17	NA	21	28%	n>75	24%	17%
A little useful	13	15	16	NA	15	16%	n>75	17%	7%
Not at all useful	20	12	20	NA	12	11%	n>75	12%	11%
I don't know	1	*	1	NA	*	0%	n>75	1%	0%
Q13. How much, if at all, do you think each of the following would help make pursuing a college degree a better investment for Americans? 									
Q13_1. Lower the price of tuition and fees									
A lot	59	53	59	49	57	54%	76%	45%	57%
Somewhat	28	32	22	33	32	28%	23%	37%	35%
Not much	6	8	11	9	8	10%	1%	10%	4%
Not at all	2	3	3	3	3	3%	0%	4%	4%
Don't know 	4	4	5	7	1	5%	0%	5%	1%
Q13_2. Provide comprehensive career counseling in high school to help students understand the best pathway to their career goals									
A lot	48	42	43	36	49	46%	52%	37%	46%
Somewhat	37	40	40	41	40	40%	45%	40%	41%
Not much	7	10	9	12	7	8%	3%	14%	7%
Not at all	2	3	3	4	2	1%	0%	5%	3%
Don't know 	5	4	5	6	2	5%	0%	5%	2%
Q13_3. Provide comprehensive career counseling to students throughout their time in college									
A lot	45	40	45	35	47	41%	51%	35%	47%
Somewhat	39	42	37	40	43	37%	44%	43%	45%
Not much	8	10	9	12	7	11%	2%	12%	5%
Not at all	2	3	5	4	1	2%	3%	4%	2%
Don't know 	6	5	6	9	2	8%	0%	6%	2%
Q13_4. Create internships and training programs that allow students to get job experience while earning a degree									
A lot	54	45	56	41	50	45%	59%	40%	55%
Somewhat	32	35	28	35	36	37%	36%	36%	32%
Not much	7	11	8	12	10	11%	3%	14%	8%
Not at all	2	4	3	5	3	2%	0%	6%	4%
Don't know 	5	4	5	7	2	5%	2%	5%	2%
Q13_5. Create partnerships between colleges and employers that establish a direct job placement pipeline for graduates									
A lot	51	43	48	41	46	42%	58%	39%	46%
Somewhat	34	40	33	41	39	38%	37%	43%	41%
Not much	6	10	10	8	11	13%	5%	10%	7%
Not at all	3	2	4	3	2	1%	0%	4%	1%
Don't know 	6	4	5	6	2	5%	1%	5%	3%
Q13_6. Provide students with a broad base of knowledge and transferable skills (e.g., critical thinking, communication, problem-solving, how to use artificial intelligence in the workforce)									
A lot	50	41	48	37	46	43%	60%	35%	44%
Somewhat	35	39	34	41	38	35%	32%	42%	44%
Not much	8	12	11	12	11	14%	7%	12%	8%
Not at all	2	4	3	6	2	4%	0%	6%	2%
Don't know 	5	4	5	5	3	5%	1%	6%	2%
Q13_7. Ensure additional financial support is available to meet students’ basic needs (housing, food, transportation, or childcare)									
A lot	48	44	53	40	50	45%	62%	38%	51%
