section,qId,question,sId,subpart,response,All Respondents,Young men,Young women,Men 35-54,Men 55+,Relational/trusting,Relational/distrusting,Self-driven/trusting,Self-driven/distrusting,"Young men, no degree and not currently enrolled","Young men, college degree"
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,I didn’t have a clear idea of what I wanted to study in college,19,27,28,,,28,,26,,26,
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,"A trade school, certificate program, or apprenticeship was a better path for me",17,14,13,,,13,,16,,14,
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,I did not want to take out student loans,16,24,15,,,21,,28,,24,
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,A college degree does not guarantee a good job or career,15,16,9,,,8,,17,,14,
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,"A major life event (for example, medical emergency or becoming a parent) prevented me from going",14,11,16,,,10,,11,,11,
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,I wanted to pursue my own business or be self employed,10,19,11,,,13,,22,,19,
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,It takes too many years to complete a degree,9,18,11,,,16,,20,,19,
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,I didn’t pursue a degree for a different reason [OTHER SPECIFY],7,3,5,,,3,,3,,3,
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,I felt I could learn what I needed online or through other means,7,13,9,,,14,,12,,14,
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,I chose to join the military,6,4,5,,,6,,4,,3,
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,Strongly agree,20,19,24,,,17,23,17,26,19,
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,Somewhat agree,24,33,28,,,34,24,33,40,33,
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,Somewhat disagree,19,16,18,,,13,18,20,8,16,
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,Strongly disagree,29,21,23,,,21,21,23,18,21,
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,Don't know,7,10,7,,,14,15,8,8,10,
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,Strongly agree,19,18,23,,,14,14,17,34,18,
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,Somewhat agree,24,31,25,,,25,30,34,30,31,
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,Somewhat disagree,18,18,15,,,16,13,23,8,18,
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,Strongly disagree,22,16,19,,,16,18,15,21,16,
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,Don't know,17,17,18,,,28,26,10,7,17,
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,Strongly agree,14,16,24,,,9,24,16,33,16,
Degrees of Doubt,Q10_8,"I had someone to turn to that listened to my concerns, provided helpful advice, and supported me as I navigated life after high school",,,Somewhat agree,28,33,33,,,30,35,35,32,33,
