section,qId,question,sId,subpart,response,All Respondents,Young men,Young women,Men 35-54,Men 55+,Relational/trusting,Relational/distrusting,Self-driven/trusting,Self-driven/distrusting
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q24_12,Men and women should be paid the same amount of money if they do the same work,Strongly disagree,2,5,3,5,2,4,1,7,2
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q24_12,Men and women should be paid the same amount of money if they do the same work,Don't know,3,4,3,2,2,2,2,5,4
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q24_13,A woman should have the exact same job opportunities as a man,Strongly agree,53,40,55,50,55,41,58,35,44
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q24_13,A woman should have the exact same job opportunities as a man,Somewhat agree,30,34,28,31,31,36,32,33,39
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q24_13,A woman should have the exact same job opportunities as a man,Somewhat disagree,10,16,10,10,10,17,9,20,11
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q24_13,A woman should have the exact same job opportunities as a man,Strongly disagree,4,5,3,7,2,3,1,8,3
The Expectations Gap,Q23,"Thinking about what it means to be a successful man, how important do you think it is for men to….",Q24_13,A woman should have the exact same job opportunities as a man,Don't know,3,4,4,2,3,4,1,5,3
The Expectations Gap,Q15,Who or what has had the biggest influence on your views around what it means to be a man?,,,Your mother,38,34,,39,41,36,43,32,33
The Expectations Gap,Q15,Who or what has had the biggest influence on your views around what it means to be a man?,,,Your father,58,53,,57,63,60,52,53,45
The Expectations Gap,Q15,Who or what has had the biggest influence on your views around what it means to be a man?,,,Your spouse/partner,27,22,,27,31,18,27,22,26
The Expectations Gap,Q15,Who or what has had the biggest influence on your views around what it means to be a man?,,,Religion or religious leaders,16,18,,16,15,17,14,20,14
The Expectations Gap,Q15,Who or what has had the biggest influence on your views around what it means to be a man?,,,Your female friends,8,9,,8,7,9,9,8,14
The Expectations Gap,Q15,Who or what has had the biggest influence on your views around what it means to be a man?,,,Other family members,27,28,,27,25,36,28,21,35
The Expectations Gap,Q15,Who or what has had the biggest influence on your views around what it means to be a man?,,,Your male friends,30,31,,28,31,32,25,32,29
The Expectations Gap,Q15,Who or what has had the biggest influence on your views around what it means to be a man?,,,"Social media (e.g., YouTube, Instagram, TikTok)",10,21,,8,4,19,23,22,17
The Expectations Gap,Q15,Who or what has had the biggest influence on your views around what it means to be a man?,,,Your elementary or high school teachers,10,7,,13,10,5,5,7,10
The Expectations Gap,Q15,Who or what has had the biggest influence on your views around what it means to be a man?,,,"Trade school, college or university professors",11,13,,13,9,9,11,14,18
The Expectations Gap,Q15,Who or what has had the biggest influence on your views around what it means to be a man?,,,Military service or training,12,8,,9,20,7,6,9,6
The Expectations Gap,Q15,Who or what has had the biggest influence on your views around what it means to be a man?,,,"Celebrities, television or movies",6,11,,8,2,10,14,11,10
The Expectations Gap,Q15,Who or what has had the biggest influence on your views around what it means to be a man?,,,Other [OTHER SPECIFY],3,4,,3,2,2,10,4,3
The Expectations Gap,Q15,Who or what has had the biggest influence on your views around what it means to be a man?,,,Your sports or extracurricular coaches,13,12,,16,8,12,7,11,19
The Expectations Gap,Q15,Who or what has had the biggest influence on your views around what it means to be a man?,,,Podcasts,4,8,,5,1,7,7,8,8
The Expectations Gap,Q15,Who or what has had the biggest influence on your views around what it means to be a man?,,,I don’t know [ANCHOR & exclusive],4,4,,3,7,3,4,5,2
