section,qId,question,sId,subpart,response,All Respondents,Young men,Young women,Men 35-54,Men 55+,Relational/trusting,Relational/distrusting,Self-driven/trusting,Self-driven/distrusting
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_2,Attended a non-political community event such as a fair or sports program,Sometimes,35,34,32,42,29,32,34,31,42
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_2,Attended a non-political community event such as a fair or sports program,Hardly ever,19,25,20,13,22,24,21,27,20
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_2,Attended a non-political community event such as a fair or sports program,Never,36,30,34,32,44,33,31,31,23
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_3,Attended a local government event such as a town hall or board of education meeting,Often,5,7,6,8,2,2,12,5,17
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_3,Attended a local government event such as a town hall or board of education meeting,Sometimes,19,22,21,20,15,14,19,24,33
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_3,Attended a local government event such as a town hall or board of education meeting,Hardly ever,19,21,19,21,18,24,11,23,13
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_3,Attended a local government event such as a town hall or board of education meeting,Never,57,51,55,51,65,60,58,48,36
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_4,Participated in a protest,Often,4,6,7,8,2,3,10,4,14
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_4,Participated in a protest,Sometimes,15,18,21,17,7,13,14,18,31
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_4,Participated in a protest,Hardly ever,13,20,14,14,11,18,16,24,14
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_4,Participated in a protest,Never,67,56,58,61,80,66,60,54,41
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_5,Had a conversation with another individual about political or social issues,Often,23,19,21,21,22,19,24,16,23
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_5,Had a conversation with another individual about political or social issues,Sometimes,45,45,43,44,44,43,43,46,50
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_5,Had a conversation with another individual about political or social issues,Hardly ever,17,21,20,19,17,23,23,20,16
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_5,Had a conversation with another individual about political or social issues,Never,15,16,16,15,17,15,11,18,11
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_6,Attended a religious service,Often,25,18,19,24,22,14,18,17,26
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_6,Attended a religious service,Sometimes,25,29,27,23,16,29,24,28,35
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_6,Attended a religious service,Hardly ever,23,27,25,26,23,29,24,30,18
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_6,Attended a religious service,Never,27,26,29,26,39,28,35,25,21
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_7,Reached out directly to your elected representatives or their legislative staff,Often,6,7,7,8,3,6,8,5,14
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_7,Reached out directly to your elected representatives or their legislative staff,Sometimes,18,21,17,19,18,13,19,22,33
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_7,Reached out directly to your elected representatives or their legislative staff,Hardly ever,20,21,23,21,19,22,14,23,15
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_7,Reached out directly to your elected representatives or their legislative staff,Never,56,52,52,52,60,60,59,49,38
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_8,Donated money to a political campaign or cause,Often,6,8,6,8,3,4,7,8,13
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_8,Donated money to a political campaign or cause,Sometimes,20,23,24,22,16,16,25,22,35
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_8,Donated money to a political campaign or cause,Hardly ever,18,21,19,20,16,21,13,24,17
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_8,Donated money to a political campaign or cause,Never,56,49,51,51,64,58,55,46,35
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_9,Shared or posted online advocating for a political position or opinion,Often,10,11,14,12,9,8,16,8,22
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_9,Shared or posted online advocating for a political position or opinion,Sometimes,26,31,26,31,15,25,28,33,37
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_9,Shared or posted online advocating for a political position or opinion,Hardly ever,17,21,19,16,15,23,12,25,14
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_9,Shared or posted online advocating for a political position or opinion,Never,47,37,41,41,60,44,44,34,27
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_9,Shared or posted online advocating for a political position or opinion,VOTE2028. What are the chances that you will vote in the November 2028 presidential election?,,,,,,,,,
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_9,Shared or posted online advocating for a political position or opinion,Absolutely certain to vote,64,43,46,62,82,45,51,41,44
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_9,Shared or posted online advocating for a political position or opinion,Very likely to vote,15,24,24,17,9,25,12,25,25
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_9,Shared or posted online advocating for a political position or opinion,Chances are 50-50,11,22,17,10,4,19,25,22,24
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_9,Shared or posted online advocating for a political position or opinion,Don't think I will vote,7,8,11,9,3,8,10,9,7
Alienated and (Dis)Engaged,Q28,"How often, if at all, have you done the following in the last twelve months",Q28_9,Shared or posted online advocating for a political position or opinion,Not eligible to vote,3,3,3,2,3,3,2,4,0
